,inflow(t-2),precipitation(t-2),temp_1(t-2),temp_2(t-2),humidity(t-2),wind(t-2),solar(t-2),inflow(t-1),precipitation(t-1),temp_1(t-1),temp_2(t-1),humidity(t-1),wind(t-1),solar(t-1),inflow(t),precipitation(t),temp_1(t),temp_2(t),humidity(t),wind(t),solar(t)
71,9.9,0,11.5,-0.8,63.3,1.6,7.8,8.7,0,9.6,-3.9,56.8,1.3,7.7,3.3,0,9.7,-5.2,58.3,1,9.4
72,8.7,0,9.6,-3.9,56.8,1.3,7.7,3.3,0,9.7,-5.2,58.3,1,9.4,3.7,0,12.4,-4.4,57.3,1.4,10.1
73,3.3,0,9.7,-5.2,58.3,1,9.4,3.7,0,12.4,-4.4,57.3,1.4,10.1,1.1,0,9.8,1.2,44.5,2.5,7.7
74,3.7,0,12.4,-4.4,57.3,1.4,10.1,1.1,0,9.8,1.2,44.5,2.5,7.7,5.6,0,9,-4.6,50.3,2.6,10.1
75,1.1,0,9.8,1.2,44.5,2.5,7.7,5.6,0,9,-4.6,50.3,2.6,10.1,10.2,0,11.2,-3.1,60.3,1.9,7.7
76,5.6,0,9,-4.6,50.3,2.6,10.1,10.2,0,11.2,-3.1,60.3,1.9,7.7,7.1,0,11,-0.1,73.8,1.3,2.1
77,10.2,0,11.2,-3.1,60.3,1.9,7.7,7.1,0,11,-0.1,73.8,1.3,2.1,4.9,0,10,-1.6,60,2.6,10.6
78,7.1,0,11,-0.1,73.8,1.3,2.1,4.9,0,10,-1.6,60,2.6,10.6,2.2,0,13,0.1,62.5,2.3,6.5
79,4.9,0,10,-1.6,60,2.6,10.6,2.2,0,13,0.1,62.5,2.3,6.5,6.1,0,12.6,0.3,66.5,1.3,5
80,2.2,0,13,0.1,62.5,2.3,6.5,6.1,0,12.6,0.3,66.5,1.3,5,5.9,0,11.8,-2.3,63.8,2.8,9.9
81,6.1,0,12.6,0.3,66.5,1.3,5,5.9,0,11.8,-2.3,63.8,2.8,9.9,9.1,2.9,5.7,1.4,70.3,3,0
