,inflow(t-2),precipitation(t-2),temp_1(t-2),temp_2(t-2),humidity(t-2),wind(t-2),solar(t-2),inflow(t-1),precipitation(t-1),temp_1(t-1),temp_2(t-1),humidity(t-1),wind(t-1),solar(t-1),inflow(t),precipitation(t),temp_1(t),temp_2(t),humidity(t),wind(t),solar(t)
7970,17.9,0,22.4,8.1,80.3,0.3,5.6,16.6,0,22.9,10,81.9,0.4,4.9,12.7,0,16.9,9.8,88.1,0.5,0
7971,16.6,0,22.9,10,81.9,0.4,4.9,12.7,0,16.9,9.8,88.1,0.5,0,14.8,0.3,22.9,12.8,69.6,1.3,4.1
7972,12.7,0,16.9,9.8,88.1,0.5,0,14.8,0.3,22.9,12.8,69.6,1.3,4.1,15.5,0,18.7,7.7,63.4,1.4,5.4
7973,14.8,0.3,22.9,12.8,69.6,1.3,4.1,15.5,0,18.7,7.7,63.4,1.4,5.4,18.7,0,18.5,6.1,81,0.5,3
7974,15.5,0,18.7,7.7,63.4,1.4,5.4,18.7,0,18.5,6.1,81,0.5,3,19.7,0,18.6,7.3,68.5,1.4,2.4
7975,18.7,0,18.5,6.1,81,0.5,3,19.7,0,18.6,7.3,68.5,1.4,2.4,14.3,2.3,18.1,2.4,61.9,1.5,7.4
7976,19.7,0,18.6,7.3,68.5,1.4,2.4,14.3,2.3,18.1,2.4,61.9,1.5,7.4,9.4,0,15.2,-1.2,65.8,0.5,8.4
7977,14.3,2.3,18.1,2.4,61.9,1.5,7.4,9.4,0,15.2,-1.2,65.8,0.5,8.4,2.8,0,15,0.9,68.1,0.5,3.7
7978,9.4,0,15.2,-1.2,65.8,0.5,8.4,2.8,0,15,0.9,68.1,0.5,3.7,14.6,0,14.2,-1.8,67.6,0.6,6
7979,2.8,0,15,0.9,68.1,0.5,3.7,14.6,0,14.2,-1.8,67.6,0.6,6,10,3.4,8.9,2.1,86.9,0.7,0
7980,14.6,0,14.2,-1.8,67.6,0.6,6,10,3.4,8.9,2.1,86.9,0.7,0,16,0,9.3,-1.6,72.9,0.9,6.1
7981,10,3.4,8.9,2.1,86.9,0.7,0,16,0,9.3,-1.6,72.9,0.9,6.1,5.6,0,10.9,-3.2,78.3,0.6,5.7
7982,16,0,9.3,-1.6,72.9,0.9,6.1,5.6,0,10.9,-3.2,78.3,0.6,5.7,9.5,0,14,-1.6,77.6,0.5,6.1
7983,5.6,0,10.9,-3.2,78.3,0.6,5.7,9.5,0,14,-1.6,77.6,0.5,6.1,7.4,0.3,11.9,1.5,83,1.2,1.4
7984,9.5,0,14,-1.6,77.6,0.5,6.1,7.4,0.3,11.9,1.5,83,1.2,1.4,14.6,0,12.6,0.7,82.9,0.7,4.5
7985,7.4,0.3,11.9,1.5,83,1.2,1.4,14.6,0,12.6,0.7,82.9,0.7,4.5,15.5,0,10.2,0.5,87.8,0.4,0.7
7986,14.6,0,12.6,0.7,82.9,0.7,4.5,15.5,0,10.2,0.5,87.8,0.4,0.7,10.7,0,13.2,-1.5,75.4,0.7,4.5
7987,15.5,0,10.2,0.5,87.8,0.4,0.7,10.7,0,13.2,-1.5,75.4,0.7,4.5,6.9,0,10.6,-2.7,61.4,0.6,7.1
7988,10.7,0,13.2,-1.5,75.4,0.7,4.5,6.9,0,10.6,-2.7,61.4,0.6,7.1,13.8,0,12.1,-4.6,58.1,1,8.8
7989,6.9,0,10.6,-2.7,61.4,0.6,7.1,13.8,0,12.1,-4.6,58.1,1,8.8,5.6,0,10.7,-5.9,64,1.1,8.5
7990,13.8,0,12.1,-4.6,58.1,1,8.8,5.6,0,10.7,-5.9,64,1.1,8.5,4.6,0,12.7,-3.9,68,1.4,6.2
7991,5.6,0,10.7,-5.9,64,1.1,8.5,4.6,0,12.7,-3.9,68,1.4,6.2,11.1,0,12.6,-1.1,77.3,0.5,4.9
7992,4.6,0,12.7,-3.9,68,1.4,6.2,11.1,0,12.6,-1.1,77.3,0.5,4.9,7.1,0,13.3,-3.4,67.8,0.4,8.2
7993,11.1,0,12.6,-1.1,77.3,0.5,4.9,7.1,0,13.3,-3.4,67.8,0.4,8.2,5.7,0,13.9,-3.1,70.9,0.2,8.2
7994,7.1,0,13.3,-3.4,67.8,0.4,8.2,5.7,0,13.9,-3.1,70.9,0.2,8.2,7.6,0,14.5,-2.5,73.3,0.4,7
7995,5.7,0,13.9,-3.1,70.9,0.2,8.2,7.6,0,14.5,-2.5,73.3,0.4,7,8.6,0,13.1,-1.7,83,0.3,4.2
7996,7.6,0,14.5,-2.5,73.3,0.4,7,8.6,0,13.1,-1.7,83,0.3,4.2,8.4,0,7.8,0.1,89.1,0.5,0.7
7997,8.6,0,13.1,-1.7,83,0.3,4.2,8.4,0,7.8,0.1,89.1,0.5,0.7,4.7,0,8.3,0.8,87.9,0.5,0
7998,8.4,0,7.8,0.1,89.1,0.5,0.7,4.7,0,8.3,0.8,87.9,0.5,0,5.8,5.1,9.1,2.3,86.6,0.6,0
7999,4.7,0,8.3,0.8,87.9,0.5,0,5.8,5.1,9.1,2.3,86.6,0.6,0,7.7,0,7.1,-0.2,51.1,2.7,7.7
8000,5.8,5.1,9.1,2.3,86.6,0.6,0,7.7,0,7.1,-0.2,51.1,2.7,7.7,4,0,3.6,-5.9,47.4,2.1,8.4
8001,7.7,0,7.1,-0.2,51.1,2.7,7.7,4,0,3.6,-5.9,47.4,2.1,8.4,9.2,0,4.6,-7.7,54.5,1.8,7.3
8002,4,0,3.6,-5.9,47.4,2.1,8.4,9.2,0,4.6,-7.7,54.5,1.8,7.3,0,0,10.4,1.4,57.9,1.6,5.1
8003,9.2,0,4.6,-7.7,54.5,1.8,7.3,0,0,10.4,1.4,57.9,1.6,5.1,7.6,1.2,6.9,4.2,85.1,0.4,0
8004,0,0,10.4,1.4,57.9,1.6,5.1,7.6,1.2,6.9,4.2,85.1,0.4,0,7.2,0,6.3,-4.1,51.3,1.9,8.4
8005,7.6,1.2,6.9,4.2,85.1,0.4,0,7.2,0,6.3,-4.1,51.3,1.9,8.4,0.3,0.3,6.4,-7.4,67,0.8,6
8006,7.2,0,6.3,-4.1,51.3,1.9,8.4,0.3,0.3,6.4,-7.4,67,0.8,6,1.1,0,7.3,-1,69,1.5,3.9
8007,0.3,0.3,6.4,-7.4,67,0.8,6,1.1,0,7.3,-1,69,1.5,3.9,7.9,0,3.3,-3.6,70.5,0.4,0
8008,1.1,0,7.3,-1,69,1.5,3.9,7.9,0,3.3,-3.6,70.5,0.4,0,3.6,0,8.6,-3.9,58.8,0.5,7.7
8009,7.9,0,3.3,-3.6,70.5,0.4,0,3.6,0,8.6,-3.9,58.8,0.5,7.7,1.9,0,7.9,-0.3,42.5,1.1,3.6
8010,3.6,0,8.6,-3.9,58.8,0.5,7.7,1.9,0,7.9,-0.3,42.5,1.1,3.6,8,0,4,-5.6,37.6,1.9,8.2
8011,1.9,0,7.9,-0.3,42.5,1.1,3.6,8,0,4,-5.6,37.6,1.9,8.2,0.7,0,3.4,-9.7,50.8,0.6,7.9
8012,8,0,4,-5.6,37.6,1.9,8.2,0.7,0,3.4,-9.7,50.8,0.6,7.9,0,0,7.3,-5.8,56.1,0.7,8.2
8013,0.7,0,3.4,-9.7,50.8,0.6,7.9,0,0,7.3,-5.8,56.1,0.7,8.2,1.4,0,6.7,-5.9,65.1,0.5,4.6
8014,0,0,7.3,-5.8,56.1,0.7,8.2,1.4,0,6.7,-5.9,65.1,0.5,4.6,6.7,0,9,-5.5,63.8,1.1,8
8015,1.4,0,6.7,-5.9,65.1,0.5,4.6,6.7,0,9,-5.5,63.8,1.1,8,1.2,0,10.7,-4.4,72.1,0.9,7.5
8016,6.7,0,9,-5.5,63.8,1.1,8,1.2,0,10.7,-4.4,72.1,0.9,7.5,8.9,4.4,3.7,-4.5,84.4,0.6,0
8017,1.2,0,10.7,-4.4,72.1,0.9,7.5,8.9,4.4,3.7,-4.5,84.4,0.6,0,0.5,0.2,3.2,-5.6,47.4,3.3,7.2
8018,8.9,4.4,3.7,-4.5,84.4,0.6,0,0.5,0.2,3.2,-5.6,47.4,3.3,7.2,0,0,-1.2,-9.2,37.5,2,7.6
8019,0.5,0.2,3.2,-5.6,47.4,3.3,7.2,0,0,-1.2,-9.2,37.5,2,7.6,0.8,0,-0.7,-8.9,24.3,2.4,8
8020,0,0,-1.2,-9.2,37.5,2,7.6,0.8,0,-0.7,-8.9,24.3,2.4,8,1,0,0.5,-12,53.5,0.6,7.3
8021,0.8,0,-0.7,-8.9,24.3,2.4,8,1,0,0.5,-12,53.5,0.6,7.3,4.7,0,4.4,-7.8,47.4,1.1,8.2
8022,1,0,0.5,-12,53.5,0.6,7.3,4.7,0,4.4,-7.8,47.4,1.1,8.2,1.4,0,1.3,-12.3,57.6,0.7,8.2
8023,4.7,0,4.4,-7.8,47.4,1.1,8.2,1.4,0,1.3,-12.3,57.6,0.7,8.2,6.2,0,2.1,-12.4,61,0.4,8.1
8024,1.4,0,1.3,-12.3,57.6,0.7,8.2,6.2,0,2.1,-12.4,61,0.4,8.1,0,0,2.5,-10.7,60.8,0.4,6.6
8025,6.2,0,2.1,-12.4,61,0.4,8.1,0,0,2.5,-10.7,60.8,0.4,6.6,4,0.1,1.4,-7.8,67.5,0.8,2.6
8026,0,0,2.5,-10.7,60.8,0.4,6.6,4,0.1,1.4,-7.8,67.5,0.8,2.6,6,0,1.4,-10.9,68.5,0.7,6.1
8027,4,0.1,1.4,-7.8,67.5,0.8,2.6,6,0,1.4,-10.9,68.5,0.7,6.1,1.4,0,2,-12.2,70.6,0.5,6.1
8028,6,0,1.4,-10.9,68.5,0.7,6.1,1.4,0,2,-12.2,70.6,0.5,6.1,2.5,0,3.4,-10.9,70.6,0.6,8.1
8029,1.4,0,2,-12.2,70.6,0.5,6.1,2.5,0,3.4,-10.9,70.6,0.6,8.1,5.6,0.7,8.1,-7.3,69.8,0.8,8
8030,2.5,0,3.4,-10.9,70.6,0.6,8.1,5.6,0.7,8.1,-7.3,69.8,0.8,8,1.1,0,4.9,-9.4,60.6,0.9,7.8
8031,5.6,0.7,8.1,-7.3,69.8,0.8,8,1.1,0,4.9,-9.4,60.6,0.9,7.8,1.5,0,3.6,-11.1,58.4,1,8
8032,1.1,0,4.9,-9.4,60.6,0.9,7.8,1.5,0,3.6,-11.1,58.4,1,8,7.4,0,3.3,-12.5,61.3,0.7,8.3
8033,1.5,0,3.6,-11.1,58.4,1,8,7.4,0,3.3,-12.5,61.3,0.7,8.3,0,4.2,1,-11.6,73.1,1.5,0
8034,7.4,0,3.3,-12.5,61.3,0.7,8.3,0,4.2,1,-11.6,73.1,1.5,0,5.7,0,-1.9,-12,46.9,2.3,8.2
8035,0,4.2,1,-11.6,73.1,1.5,0,5.7,0,-1.9,-12,46.9,2.3,8.2,5.7,8.6,-4.2,-13.7,84.6,0.4,0.8
8036,5.7,0,-1.9,-12,46.9,2.3,8.2,5.7,8.6,-4.2,-13.7,84.6,0.4,0.8,5.7,0,-2.1,-9,57.9,2,5.7
8037,5.7,8.6,-4.2,-13.7,84.6,0.4,0.8,5.7,0,-2.1,-9,57.9,2,5.7,5.9,0,-7.1,-19.8,50.5,1.7,8.1
8038,5.7,0,-2.1,-9,57.9,2,5.7,5.9,0,-7.1,-19.8,50.5,1.7,8.1,1.7,0,-3.9,-20.7,63.4,0.5,8
8039,5.9,0,-7.1,-19.8,50.5,1.7,8.1,1.7,0,-3.9,-20.7,63.4,0.5,8,6.5,1.7,3.1,-9.7,77.8,0.9,0
8040,1.7,0,-3.9,-20.7,63.4,0.5,8,6.5,1.7,3.1,-9.7,77.8,0.9,0,6.1,0,2.9,-9.2,59.4,1.1,8.3
8041,6.5,1.7,3.1,-9.7,77.8,0.9,0,6.1,0,2.9,-9.2,59.4,1.1,8.3,0,0,2.2,-13.3,72.1,0.4,8.1
8042,6.1,0,2.9,-9.2,59.4,1.1,8.3,0,0,2.2,-13.3,72.1,0.4,8.1,10.7,3.9,1,-8.3,63.1,3.1,3.4
8043,0,0,2.2,-13.3,72.1,0.4,8.1,10.7,3.9,1,-8.3,63.1,3.1,3.4,2.3,0,-3.5,-14.2,50.3,2.7,8.2
8044,10.7,3.9,1,-8.3,63.1,3.1,3.4,2.3,0,-3.5,-14.2,50.3,2.7,8.2,2.1,0,-1.7,-17.1,69.3,0.5,8.2
8045,2.3,0,-3.5,-14.2,50.3,2.7,8.2,2.1,0,-1.7,-17.1,69.3,0.5,8.2,6.3,0,-0.5,-6.2,74.3,0.1,0
8046,2.1,0,-1.7,-17.1,69.3,0.5,8.2,6.3,0,-0.5,-6.2,74.3,0.1,0,0,0,8,-6.7,74.8,0.7,6.6
8047,6.3,0,-0.5,-6.2,74.3,0.1,0,0,0,8,-6.7,74.8,0.7,6.6,3.4,0,5.6,-7.2,79.9,0.3,5.9
8048,0,0,8,-6.7,74.8,0.7,6.6,3.4,0,5.6,-7.2,79.9,0.3,5.9,7.8,0,9.1,-2,71.8,2.2,0.9
8049,3.4,0,5.6,-7.2,79.9,0.3,5.9,7.8,0,9.1,-2,71.8,2.2,0.9,0,4.3,5.9,2.3,88.8,0.9,0
8050,7.8,0,9.1,-2,71.8,2.2,0.9,0,4.3,5.9,2.3,88.8,0.9,0,24.5,23.8,8.4,4.2,94.3,0.8,0
8051,0,4.3,5.9,2.3,88.8,0.9,0,24.5,23.8,8.4,4.2,94.3,0.8,0,56.1,13.6,8.4,1.7,75.8,2.3,0
8052,24.5,23.8,8.4,4.2,94.3,0.8,0,56.1,13.6,8.4,1.7,75.8,2.3,0,51.6,1.5,4,0,88.3,0.8,0
8053,56.1,13.6,8.4,1.7,75.8,2.3,0,51.6,1.5,4,0,88.3,0.8,0,28.7,0,5,-1.9,83.4,1.2,3.3
8054,51.6,1.5,4,0,88.3,0.8,0,28.7,0,5,-1.9,83.4,1.2,3.3,21.1,0,7.2,-3,87,0.5,3.3
8055,28.7,0,5,-1.9,83.4,1.2,3.3,21.1,0,7.2,-3,87,0.5,3.3,25,5.6,3.8,-0.3,89.5,0.6,0
8056,21.1,0,7.2,-3,87,0.5,3.3,25,5.6,3.8,-0.3,89.5,0.6,0,15.5,0,2.8,-3.8,74.3,1.9,1.6
8057,25,5.6,3.8,-0.3,89.5,0.6,0,15.5,0,2.8,-3.8,74.3,1.9,1.6,10.8,0,-2.8,-6.6,52.3,3.4,6.3
8058,15.5,0,2.8,-3.8,74.3,1.9,1.6,10.8,0,-2.8,-6.6,52.3,3.4,6.3,13.1,0,-0.2,-9.1,52,2.2,8.4
8059,10.8,0,-2.8,-6.6,52.3,3.4,6.3,13.1,0,-0.2,-9.1,52,2.2,8.4,11,0,1.8,-11.4,61.5,1.1,8.5
8060,13.1,0,-0.2,-9.1,52,2.2,8.4,11,0,1.8,-11.4,61.5,1.1,8.5,6.2,0,2.8,-11,66.3,0.6,8.5
8061,11,0,1.8,-11.4,61.5,1.1,8.5,6.2,0,2.8,-11,66.3,0.6,8.5,15.1,3.2,0,-6.3,82.9,1,0
8062,6.2,0,2.8,-11,66.3,0.6,8.5,15.1,3.2,0,-6.3,82.9,1,0,10.3,2.5,3.2,-3.7,74.5,1.1,5.1
8063,15.1,3.2,0,-6.3,82.9,1,0,10.3,2.5,3.2,-3.7,74.5,1.1,5.1,10.7,0,0,-9.2,56,2.2,8.3
8064,10.3,2.5,3.2,-3.7,74.5,1.1,5.1,10.7,0,0,-9.2,56,2.2,8.3,5.4,1,2.8,-12.1,61,1.2,8.9
8065,10.7,0,0,-9.2,56,2.2,8.3,5.4,1,2.8,-12.1,61,1.2,8.9,11.2,1.1,2.8,-9.8,64.6,1.5,8.7
8066,5.4,1,2.8,-12.1,61,1.2,8.9,11.2,1.1,2.8,-9.8,64.6,1.5,8.7,1.9,0,2.6,-11.1,59.1,0.9,8.9
8067,11.2,1.1,2.8,-9.8,64.6,1.5,8.7,1.9,0,2.6,-11.1,59.1,0.9,8.9,10.6,0,2.3,-10.2,71.9,0.6,3.6
8068,1.9,0,2.6,-11.1,59.1,0.9,8.9,10.6,0,2.3,-10.2,71.9,0.6,3.6,10.9,0,8.7,-3.5,67.5,0.8,7.4
8069,10.6,0,2.3,-10.2,71.9,0.6,3.6,10.9,0,8.7,-3.5,67.5,0.8,7.4,6.4,0,10.1,-6.5,67.3,0.5,8.8
8070,10.9,0,8.7,-3.5,67.5,0.8,7.4,6.4,0,10.1,-6.5,67.3,0.5,8.8,10.8,0,5.7,-6,71.9,0.4,2.5
8071,6.4,0,10.1,-6.5,67.3,0.5,8.8,10.8,0,5.7,-6,71.9,0.4,2.5,10.6,0,10.6,-4.4,63.6,0.8,8.2
8072,10.8,0,5.7,-6,71.9,0.4,2.5,10.6,0,10.6,-4.4,63.6,0.8,8.2,6.2,1.8,8,-4,71.9,1.1,1.8
8073,10.6,0,10.6,-4.4,63.6,0.8,8.2,6.2,1.8,8,-4,71.9,1.1,1.8,15.2,0,10,-2.9,48.6,1.4,8.7
8074,6.2,1.8,8,-4,71.9,1.1,1.8,15.2,0,10,-2.9,48.6,1.4,8.7,5.8,0,4.8,-3.4,63.3,1.4,0.7
8075,15.2,0,10,-2.9,48.6,1.4,8.7,5.8,0,4.8,-3.4,63.3,1.4,0.7,5.4,0,2.5,-9,38,1.9,7.5
8076,5.8,0,4.8,-3.4,63.3,1.4,0.7,5.4,0,2.5,-9,38,1.9,7.5,6,0,3.1,-4.1,45.4,2.2,5.8
8077,5.4,0,2.5,-9,38,1.9,7.5,6,0,3.1,-4.1,45.4,2.2,5.8,5.7,0,2.5,-9.8,47.1,1.9,7
8078,6,0,3.1,-4.1,45.4,2.2,5.8,5.7,0,2.5,-9.8,47.1,1.9,7,6,0,4,-10.9,43.1,1.4,6.6
8079,5.7,0,2.5,-9.8,47.1,1.9,7,6,0,4,-10.9,43.1,1.4,6.6,9.8,0,6.1,-8.4,49.1,1,8.8
8080,6,0,4,-10.9,43.1,1.4,6.6,9.8,0,6.1,-8.4,49.1,1,8.8,5.7,0,7,-9.1,49.1,0.9,8.9
8081,9.8,0,6.1,-8.4,49.1,1,8.8,5.7,0,7,-9.1,49.1,0.9,8.9,6.1,0,8.1,-9,54.8,1.1,8.9
8082,5.7,0,7,-9.1,49.1,0.9,8.9,6.1,0,8.1,-9,54.8,1.1,8.9,5.8,0,4.7,-6.9,70.9,0.6,0.1
8083,6.1,0,8.1,-9,54.8,1.1,8.9,5.8,0,4.7,-6.9,70.9,0.6,0.1,6,2.8,4.3,-3,76.9,1.1,0
8084,5.8,0,4.7,-6.9,70.9,0.6,0.1,6,2.8,4.3,-3,76.9,1.1,0,10.6,0,2.8,-8.1,46.5,2,9.2
8085,6,2.8,4.3,-3,76.9,1.1,0,10.6,0,2.8,-8.1,46.5,2,9.2,1.3,0,5.9,-9.5,50.6,0.9,9.1
8086,10.6,0,2.8,-8.1,46.5,2,9.2,1.3,0,5.9,-9.5,50.6,0.9,9.1,5.6,0,9,-8.1,61,1.1,8.5
8087,1.3,0,5.9,-9.5,50.6,0.9,9.1,5.6,0,9,-8.1,61,1.1,8.5,5.8,0,6.6,-4,74.8,0.5,0.2
8088,5.6,0,9,-8.1,61,1.1,8.5,5.8,0,6.6,-4,74.8,0.5,0.2,7.7,0,11.1,-1.9,62.9,1.3,5.7
8089,5.8,0,6.6,-4,74.8,0.5,0.2,7.7,0,11.1,-1.9,62.9,1.3,5.7,7.6,0,11.6,-4.8,57.4,0.8,8.7
8090,7.7,0,11.1,-1.9,62.9,1.3,5.7,7.6,0,11.6,-4.8,57.4,0.8,8.7,2.7,0,12.7,-4.7,54.6,0.8,9.2
8091,7.6,0,11.6,-4.8,57.4,0.8,8.7,2.7,0,12.7,-4.7,54.6,0.8,9.2,6.7,0,10,-1.7,54,1.4,3.5
8092,2.7,0,12.7,-4.7,54.6,0.8,9.2,6.7,0,10,-1.7,54,1.4,3.5,7.4,0,12.5,-1.5,56.3,1,7
8093,6.7,0,10,-1.7,54,1.4,3.5,7.4,0,12.5,-1.5,56.3,1,7,3.2,0,12.8,0.1,60.9,0.8,4.4
8094,7.4,0,12.5,-1.5,56.3,1,7,3.2,0,12.8,0.1,60.9,0.8,4.4,11.9,0,15.5,0.7,55.6,1,8.8
8095,3.2,0,12.8,0.1,60.9,0.8,4.4,11.9,0,15.5,0.7,55.6,1,8.8,1.7,0,15.4,-2.6,59.1,0.6,5.9
8096,11.9,0,15.5,0.7,55.6,1,8.8,1.7,0,15.4,-2.6,59.1,0.6,5.9,9,0,12.4,-2.2,59.4,1.8,3.6
8097,1.7,0,15.4,-2.6,59.1,0.6,5.9,9,0,12.4,-2.2,59.4,1.8,3.6,2.9,0,11,-0.8,53.6,2.1,5.9
8098,9,0,12.4,-2.2,59.4,1.8,3.6,2.9,0,11,-0.8,53.6,2.1,5.9,7.4,0,10.9,-4.8,51.6,0.9,7.3
8099,2.9,0,11,-0.8,53.6,2.1,5.9,7.4,0,10.9,-4.8,51.6,0.9,7.3,5.1,3,4.9,1.4,71.6,0.8,0
8100,7.4,0,10.9,-4.8,51.6,0.9,7.3,5.1,3,4.9,1.4,71.6,0.8,0,6.4,2.1,4,-1.2,66.8,2.7,0.5
8101,5.1,3,4.9,1.4,71.6,0.8,0,6.4,2.1,4,-1.2,66.8,2.7,0.5,12.3,0,6.5,-6.6,47.6,2,9.4
8102,6.4,2.1,4,-1.2,66.8,2.7,0.5,12.3,0,6.5,-6.6,47.6,2,9.4,0,0,10.2,-6.3,56.8,1.4,9.3
8103,12.3,0,6.5,-6.6,47.6,2,9.4,0,0,10.2,-6.3,56.8,1.4,9.3,6.9,0,15.6,-3.2,60.3,2.2,6.4
8104,0,0,10.2,-6.3,56.8,1.4,9.3,6.9,0,15.6,-3.2,60.3,2.2,6.4,12.4,1.5,16.4,3.4,48,2.4,8.5
8105,6.9,0,15.6,-3.2,60.3,2.2,6.4,12.4,1.5,16.4,3.4,48,2.4,8.5,7.3,0,15.4,-2.9,45.6,2.2,9.2
8106,12.4,1.5,16.4,3.4,48,2.4,8.5,7.3,0,15.4,-2.9,45.6,2.2,9.2,12.7,0,18.4,-1.9,56.1,0.7,8.9
8107,7.3,0,15.4,-2.9,45.6,2.2,9.2,12.7,0,18.4,-1.9,56.1,0.7,8.9,0,0,19.9,0.2,51.4,1.3,7.9
8108,12.7,0,18.4,-1.9,56.1,0.7,8.9,0,0,19.9,0.2,51.4,1.3,7.9,21.3,0,11.7,2.5,57.5,0.3,0
8109,0,0,19.9,0.2,51.4,1.3,7.9,21.3,0,11.7,2.5,57.5,0.3,0,15,0.1,16.4,4.4,62.1,2.1,3.9
8110,21.3,0,11.7,2.5,57.5,0.3,0,15,0.1,16.4,4.4,62.1,2.1,3.9,7.7,0,15.9,-0.4,48.5,2.2,7.1
8111,15,0.1,16.4,4.4,62.1,2.1,3.9,7.7,0,15.9,-0.4,48.5,2.2,7.1,16.6,0,16.2,5.4,34.1,3,6.8
8112,7.7,0,15.9,-0.4,48.5,2.2,7.1,16.6,0,16.2,5.4,34.1,3,6.8,12.3,0,14.1,0.6,35.8,2.8,8.4
8113,16.6,0,16.2,5.4,34.1,3,6.8,12.3,0,14.1,0.6,35.8,2.8,8.4,16.2,0,16.8,1.2,40.4,2.8,5.8
8114,12.3,0,14.1,0.6,35.8,2.8,8.4,16.2,0,16.8,1.2,40.4,2.8,5.8,0.1,0,20.7,-2.6,47.5,1.4,6.3
8115,16.2,0,16.8,1.2,40.4,2.8,5.8,0.1,0,20.7,-2.6,47.5,1.4,6.3,27.8,15,18.2,6.5,43.3,4.4,0
8116,0.1,0,20.7,-2.6,47.5,1.4,6.3,27.8,15,18.2,6.5,43.3,4.4,0,37.3,0,11.6,4.4,34.5,3.7,3.4
8117,27.8,15,18.2,6.5,43.3,4.4,0,37.3,0,11.6,4.4,34.5,3.7,3.4,28.1,0,9.6,2.1,30.8,3.4,5.7
8118,37.3,0,11.6,4.4,34.5,3.7,3.4,28.1,0,9.6,2.1,30.8,3.4,5.7,24.3,0,11.5,-4.2,44.5,2,9.9
8119,28.1,0,9.6,2.1,30.8,3.4,5.7,24.3,0,11.5,-4.2,44.5,2,9.9,19.3,0,15.2,-2.9,58.6,1.5,5.8
8120,24.3,0,11.5,-4.2,44.5,2,9.9,19.3,0,15.2,-2.9,58.6,1.5,5.8,13.2,0,14.7,1.5,63.3,1.1,1.7
8121,19.3,0,15.2,-2.9,58.6,1.5,5.8,13.2,0,14.7,1.5,63.3,1.1,1.7,14.2,0,18.2,1.4,54,1,10.1
8122,13.2,0,14.7,1.5,63.3,1.1,1.7,14.2,0,18.2,1.4,54,1,10.1,11.8,0,20.4,0.7,50.9,1.3,7.7
8123,14.2,0,18.2,1.4,54,1,10.1,11.8,0,20.4,0.7,50.9,1.3,7.7,6.1,0,20.6,6.2,58.1,0.9,7.4
8124,11.8,0,20.4,0.7,50.9,1.3,7.7,6.1,0,20.6,6.2,58.1,0.9,7.4,22.8,15,13.8,3.9,81.1,0.7,0.9
8125,6.1,0,20.6,6.2,58.1,0.9,7.4,22.8,15,13.8,3.9,81.1,0.7,0.9,14.6,0,19.3,7.3,71.3,1.4,6.3
8126,22.8,15,13.8,3.9,81.1,0.7,0.9,14.6,0,19.3,7.3,71.3,1.4,6.3,27.4,0,22.6,3.2,58.3,1.5,9.7
8127,14.6,0,19.3,7.3,71.3,1.4,6.3,27.4,0,22.6,3.2,58.3,1.5,9.7,21.9,0,25.4,4,50.1,1.1,10.2
8128,27.4,0,22.6,3.2,58.3,1.5,9.7,21.9,0,25.4,4,50.1,1.1,10.2,15.2,0,19.3,5.3,42.9,2.3,10.2
8129,21.9,0,25.4,4,50.1,1.1,10.2,15.2,0,19.3,5.3,42.9,2.3,10.2,20.3,0,24.4,0.6,40.5,1.1,10.4
8130,15.2,0,19.3,5.3,42.9,2.3,10.2,20.3,0,24.4,0.6,40.5,1.1,10.4,5.5,0,27.3,3.4,36,1.3,9.4
8131,20.3,0,24.4,0.6,40.5,1.1,10.4,5.5,0,27.3,3.4,36,1.3,9.4,37.5,34,19.1,9.8,89.4,1.2,0
8132,5.5,0,27.3,3.4,36,1.3,9.4,37.5,34,19.1,9.8,89.4,1.2,0,46,0,14.6,9.8,77.6,2.1,0.2
8133,37.5,34,19.1,9.8,89.4,1.2,0,46,0,14.6,9.8,77.6,2.1,0.2,50.8,0,14.4,7.1,39.6,3.2,4.1
8134,46,0,14.6,9.8,77.6,2.1,0.2,50.8,0,14.4,7.1,39.6,3.2,4.1,39.8,0.1,12.1,3.8,46.5,2.6,3.3
8135,50.8,0,14.4,7.1,39.6,3.2,4.1,39.8,0.1,12.1,3.8,46.5,2.6,3.3,23.8,0,14.8,0,54,2.1,8.4
8136,39.8,0.1,12.1,3.8,46.5,2.6,3.3,23.8,0,14.8,0,54,2.1,8.4,32.9,0,15.7,0.9,56.5,0.9,5.3
8137,23.8,0,14.8,0,54,2.1,8.4,32.9,0,15.7,0.9,56.5,0.9,5.3,21.5,5,17.4,0.1,66.5,1.7,5.9
8138,32.9,0,15.7,0.9,56.5,0.9,5.3,21.5,5,17.4,0.1,66.5,1.7,5.9,23.8,0,18.1,8,54.8,2,8.8
8139,21.5,5,17.4,0.1,66.5,1.7,5.9,23.8,0,18.1,8,54.8,2,8.8,27.5,0,27.3,5.9,46.3,2.1,10
8140,23.8,0,18.1,8,54.8,2,8.8,27.5,0,27.3,5.9,46.3,2.1,10,15.6,0,26.6,15.6,59.5,1,4.9
8141,27.5,0,27.3,5.9,46.3,2.1,10,15.6,0,26.6,15.6,59.5,1,4.9,27.5,16.5,19.6,13.2,82.5,1.7,0
8142,15.6,0,26.6,15.6,59.5,1,4.9,27.5,16.5,19.6,13.2,82.5,1.7,0,75.2,0.2,14.8,8.5,32.4,4,8.2
