,inflow,outflow,precipitation,temp_max,temp_min,humidity,wind,solar
1980-05-16,43.7,32.8,0,19.4,9.8,44,4,11.6
1980-05-17,34.3,39.7,0,21.4,4.3,53,1.4,12.1
1980-05-18,39.1,1,0,23.7,5.7,53.5,1.5,10
1980-05-19,37.7,54,0,18.8,10.2,65.5,1,0.7
1980-05-20,29.3,51.1,0,24.4,11.6,68,0.6,8.3
1980-05-21,19.6,41.4,0,30.2,9.3,59.5,0.9,12.3
1980-05-22,24.6,62.7,0,28.7,11.5,60,1.6,12
1980-05-23,25.2,52.4,0,28.7,12.9,58.5,1.5,10.9
1980-05-24,13.4,51.5,0,27.7,10.5,66.5,1,8.6
1980-05-25,34.3,1.3,27.5,19.1,16.8,89.8,0.8,0
1980-05-26,42.9,53.8,1.3,18,8,66,4.5,6.5
1980-05-27,40.3,70.1,0,23.3,6.5,50.3,3.5,12.8
1980-05-28,41,51.9,0,27.2,15,50.8,2.8,12
1980-05-29,28.1,55.3,0,28.7,10.4,66,0.6,12.5
1980-05-30,24.6,51.7,0,32.7,14.1,64,0.8,11.4
1980-05-31,17.5,54.3,0,29.1,14.5,61.3,2,7.2
1980-06-01,12.1,1.3,1.8,29.7,16.7,63.3,1.6,9.5
1980-06-02,28,97.4,4,20.5,12.7,87.5,2.7,0
1980-06-03,19.8,110.5,0.4,24.1,12.4,59.8,3.3,13.3
1980-06-04,20.1,132.2,0.8,27.4,13.9,64.5,1.5,12.5
1980-06-05,9.3,132.3,0,28.4,12.6,62,1.6,12
1980-06-06,9.9,137.6,0,30.3,12.5,68.8,0.8,12
1980-06-07,8.4,133.8,0,29.3,14.2,67.8,0.4,6.4
1980-06-08,25.1,72.1,13.7,22,17,93.3,1,1
1980-06-09,21.6,131.3,0,24.3,16.8,77.8,1,1.5
1980-06-10,16,162.3,0,25.9,17.5,80.3,0.6,4.8
1980-06-11,13.2,161.6,0,28.5,16,77.8,1,5.5
1980-06-12,10.9,159.3,0,28.9,16.2,72.5,1.4,10.4
1980-06-13,15.5,148.5,0,31.7,18.7,71.5,0.6,9.9
1980-06-14,14.9,168.4,0,33,17.9,70.8,0.6,10.9
1980-06-15,11.4,31.6,0,32.2,17.5,72.5,1.2,11.6
1980-06-16,8.4,138.5,11.7,26.2,20.4,84,0.8,0
1980-06-17,7.3,27.4,2.8,30.5,21.3,76.5,1.5,8.6
1980-06-18,17.6,67.8,2.9,29.3,19.4,79,1.3,7.8
1980-06-19,15.8,66,0,27.5,17.3,65.8,1.5,3.9
1980-06-20,7.4,57.6,0,26.9,19.5,77.3,0.9,4.6
1980-06-21,8.4,98.7,0,28.7,17.4,74,1.3,10.9
1980-06-22,10.8,0.8,0,30.2,15.8,69.5,1.4,11.1
1980-06-23,7.1,102.4,0,29.3,17,77.8,0.8,7.9
1980-06-24,6.8,55.9,0,33.2,17.4,75.5,0.6,7.2
1980-06-25,15.8,50.2,11.4,23.2,18.1,90,1.2,0
1980-06-26,18.6,3.9,7.7,24.1,18.4,86.8,0.9,0
1980-06-27,25.4,0.8,0.7,23.3,19.1,86.3,0.8,0
1980-06-28,20.4,84.3,0,28.3,18.7,81,0.3,8.3
1980-06-29,17.1,7.3,0,31.5,18.9,75.5,0.8,9.5
1980-06-30,13.8,82.6,5.2,24.6,18.6,84,1.9,0
1980-07-01,34.7,10.1,17.4,20.8,16.7,86.5,1.9,0
1980-07-02,89.6,45.4,0.8,22.2,16.4,83.8,2,0
1980-07-03,71.6,22.4,0,28.7,15.6,71.8,1.3,12.4
1980-07-04,45.1,0.8,0.4,24.8,20,83.3,1,0.1
1980-07-05,35.9,0.8,0,24.4,19,83.5,1,1.2
1980-07-06,30.9,0.8,0,29.6,18.5,77,1,9.9
1980-07-07,19.8,14.8,0,29.9,20.5,75,1,6.5
1980-07-08,24.1,19.1,0,28.8,20.6,79.8,0.9,9.7
1980-07-09,13.6,103.5,0,32.6,20.2,76.5,0.8,8.9
1980-07-10,19,87.8,0,31.1,21.6,75.8,1.1,3.9
1980-07-11,20.5,0.8,5.2,26.5,20.8,88.8,0.6,3.7
1980-07-12,20.4,20.4,0,30.3,18.6,79.3,0.6,6.9
1980-07-13,25.4,0.8,18.3,28.8,19.2,79.3,1.1,2.8
1980-07-14,720.9,0.5,88.6,22.9,18.4,94.3,2.3,0
1980-07-15,437.8,0.6,0.7,27.5,19.2,82.5,0.7,5
